fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
837,77.14286,69.35,59885.16789,21.52886,240,0.0485,2.019,ztfg,-1
811,73.33333,62.15,59885.17079,21.52886,240,0.15231,2.02261,ztfg,-1
1815,78.98986,58.55,59885.19393,21.52886,240,0.00763,2.00425,ztfg,-1
780,82.05244,54.95,59885.20551,21.52886,240,0.19238,2.03047,ztfg,-1
812,86.66667,62.15,59885.2084,21.52886,240,0.02751,2.01653,ztfg,-1
1782,82.71148,51.35,59885.21419,21.52886,240,0.00724,2.00775,ztfg,-1
744,81.85354,47.75,59885.21708,21.52886,240,0.11895,2.00179,ztfg,-1
745,91.27823,47.75,59885.24312,21.52886,240,0.03866,2.00315,ztfg,-1
704,88.84822,40.55,59885.24602,21.52886,240,0.07705,2.00086,ztfg,-1
659,86.23064,33.35,59885.24891,21.52886,240,0.01412,1.9913,ztfg,-1
1744,90.53215,44.15,59885.2518,21.52886,240,0.00323,1.91812,ztfg,-1
1702,87.66852,36.95,59885.2547,21.52886,240,0.00242,1.89081,ztfg,-1
660,94.08393,33.35,59885.26917,21.52886,240,0.00708,2.01709,ztfg,-1
780,82.05244,54.95,59885.26986,21.52886,240,0.19238,1.47612,ztfr,-1
811,73.33333,62.15,59885.27275,21.52886,240,0.15231,1.37692,ztfr,-1
744,81.85354,47.75,59885.27565,21.52886,240,0.11895,1.4429,ztfr,-1
836,60.0,69.35,59885.27854,21.52886,240,0.08505,1.33264,ztfr,-1
704,88.84822,40.55,59885.28143,21.52886,240,0.07705,1.57947,ztfr,-1
837,77.14286,69.35,59885.28433,21.52886,240,0.0485,1.4351,ztfr,-1
855,36.0,76.55,59885.28722,21.52886,240,0.04633,1.37904,ztfr,-1
854,12.0,76.55,59885.29011,21.52886,240,0.03372,1.38823,ztfr,-1
812,86.66667,62.15,59885.29301,21.52886,240,0.02751,1.44354,ztfr,-1
745,91.27823,47.75,59885.2959,21.52886,240,0.03866,1.48146,ztfr,-1
856,60.0,76.55,59885.2988,21.52886,240,0.02386,1.42204,ztfr,-1
868,348.0,76.55,59885.30169,21.52886,240,0.01232,1.48538,ztfr,-1
852,334.28571,69.35,59885.30458,21.52886,240,0.00698,1.50113,ztfr,-1
835,42.85714,69.35,59885.30748,21.52886,240,0.00597,1.24298,ztfr,-1
659,86.23064,33.35,59885.31037,21.52886,240,0.01412,1.35174,ztfr,-1
1815,78.98986,58.55,59885.31326,21.52886,240,0.00763,1.26957,ztfr,-1
1782,82.71148,51.35,59885.31616,21.52886,240,0.00724,1.25922,ztfr,-1
660,94.08393,33.35,59885.31905,21.52886,240,0.00708,1.44189,ztfr,-1
1843,68.79756,65.75,59885.32194,21.52886,240,0.00666,1.2518,ztfr,-1
1865,52.43831,72.95,59885.32484,21.52886,240,0.00519,1.30885,ztfr,-1
1744,90.53215,44.15,59885.32773,21.52886,240,0.00323,1.29158,ztfr,-1
1702,87.66852,36.95,59885.33062,21.52886,240,0.00242,1.25002,ztfi,-1
780,82.05244,54.95,59885.33132,21.52886,240,0.19238,1.21941,ztfi,-1
811,73.33333,62.15,59885.33421,21.52886,240,0.15231,1.2129,ztfi,-1
744,81.85354,47.75,59885.33711,21.52886,240,0.11895,1.17052,ztfi,-1
836,60.0,69.35,59885.34,21.52886,240,0.08505,1.25135,ztfi,-1
704,88.84822,40.55,59885.34289,21.52886,240,0.07705,1.20689,ztfi,-1
837,77.14286,69.35,59885.34579,21.52886,240,0.0485,1.29778,ztfi,-1
855,36.0,76.55,59885.34868,21.52886,240,0.04633,1.38288,ztfi,-1
854,12.0,76.55,59885.35157,21.52886,240,0.03372,1.45573,ztfi,-1
812,86.66667,62.15,59885.35447,21.52886,240,0.02751,1.24623,ztfi,-1
745,91.27823,47.75,59885.35736,21.52886,240,0.03866,1.1883,ztfi,-1
856,60.0,76.55,59885.36025,21.52886,240,0.02386,1.37604,ztfi,-1
868,348.0,76.55,59885.36315,21.52886,240,0.01232,1.63291,ztfi,-1
852,334.28571,69.35,59885.36604,21.52886,240,0.00698,1.78499,ztfi,-1
835,42.85714,69.35,59885.36893,21.52886,240,0.00597,1.2494,ztfi,-1
659,86.23064,33.35,59885.37183,21.52886,240,0.01412,1.09574,ztfi,-1
1815,78.98986,58.55,59885.37472,21.52886,240,0.00763,1.14122,ztfi,-1
1782,82.71148,51.35,59885.37761,21.52886,240,0.00724,1.10141,ztfi,-1
660,94.08393,33.35,59885.38051,21.52886,240,0.00708,1.13286,ztfi,-1
1843,68.79756,65.75,59885.3834,21.52886,240,0.00666,1.18907,ztfi,-1
1865,52.43831,72.95,59885.3863,21.52886,240,0.00519,1.30517,ztfi,-1
1744,90.53215,44.15,59885.38919,21.52886,240,0.00323,1.09086,ztfi,-1
1702,87.66852,36.95,59885.39208,21.52886,240,0.00242,1.05886,ztfi,-1
855,36.0,76.55,59886.07819,21.52886,240,0.04633,1.81218,ztfr,-1
854,12.0,76.55,59886.08109,21.52886,240,0.03372,1.58219,ztfr,-1
868,348.0,76.55,59886.08398,21.52886,240,0.01232,1.4415,ztfr,-1
852,334.28571,69.35,59886.08687,21.52886,240,0.00698,1.26459,ztfr,-1
835,42.85714,69.35,59886.08977,21.52886,240,0.00597,1.89681,ztfr,-1
1865,52.43831,72.95,59886.09266,21.52886,240,0.00519,2.00212,ztfr,-1
856,60.0,76.55,59886.10134,21.52886,240,0.02386,2.00515,ztfr,-1
836,60.0,69.35,59886.1216,21.52886,240,0.08505,2.00871,ztfr,-1
1843,68.79756,65.75,59886.15343,21.52886,240,0.00666,2.00776,ztfr,-1
837,77.14286,69.35,59886.16789,21.52886,240,0.0485,2.019,ztfr,-1
811,73.33333,62.15,59886.17079,21.52886,240,0.15231,2.02261,ztfr,-1
1815,78.98986,58.55,59886.19393,21.52886,240,0.00763,2.00425,ztfr,-1
780,82.05244,54.95,59886.20551,21.52886,240,0.19238,2.03047,ztfr,-1
812,86.66667,62.15,59886.2084,21.52886,240,0.02751,2.01653,ztfr,-1
1782,82.71148,51.35,59886.21419,21.52886,240,0.00724,2.00775,ztfr,-1
744,81.85354,47.75,59886.21708,21.52886,240,0.11895,2.00179,ztfr,-1
745,91.27823,47.75,59886.24312,21.52886,240,0.03866,2.00315,ztfr,-1
704,88.84822,40.55,59886.24602,21.52886,240,0.07705,2.00086,ztfr,-1
659,86.23064,33.35,59886.24891,21.52886,240,0.01412,1.9913,ztfr,-1
1744,90.53215,44.15,59886.2518,21.52886,240,0.00323,1.91812,ztfr,-1
1702,87.66852,36.95,59886.2547,21.52886,240,0.00242,1.89081,ztfr,-1
660,94.08393,33.35,59886.26917,21.52886,240,0.00708,2.01709,ztfr,-1
780,82.05244,54.95,59886.26986,21.52886,240,0.19238,1.47612,ztfi,-1
811,73.33333,62.15,59886.27275,21.52886,240,0.15231,1.37692,ztfi,-1
744,81.85354,47.75,59886.27565,21.52886,240,0.11895,1.4429,ztfi,-1
836,60.0,69.35,59886.27854,21.52886,240,0.08505,1.33264,ztfi,-1
704,88.84822,40.55,59886.28143,21.52886,240,0.07705,1.57947,ztfi,-1
837,77.14286,69.35,59886.28433,21.52886,240,0.0485,1.4351,ztfi,-1
855,36.0,76.55,59886.28722,21.52886,240,0.04633,1.37904,ztfi,-1
854,12.0,76.55,59886.29011,21.52886,240,0.03372,1.38823,ztfi,-1
812,86.66667,62.15,59886.29301,21.52886,240,0.02751,1.44354,ztfi,-1
745,91.27823,47.75,59886.2959,21.52886,240,0.03866,1.48146,ztfi,-1
856,60.0,76.55,59886.2988,21.52886,240,0.02386,1.42204,ztfi,-1
868,348.0,76.55,59886.30169,21.52886,240,0.01232,1.48538,ztfi,-1
852,334.28571,69.35,59886.30458,21.52886,240,0.00698,1.50113,ztfi,-1
835,42.85714,69.35,59886.30748,21.52886,240,0.00597,1.24298,ztfi,-1
659,86.23064,33.35,59886.31037,21.52886,240,0.01412,1.35174,ztfi,-1
1815,78.98986,58.55,59886.31326,21.52886,240,0.00763,1.26957,ztfi,-1
1782,82.71148,51.35,59886.31616,21.52886,240,0.00724,1.25922,ztfi,-1
660,94.08393,33.35,59886.31905,21.52886,240,0.00708,1.44189,ztfi,-1
1843,68.79756,65.75,59886.32194,21.52886,240,0.00666,1.2518,ztfi,-1
1865,52.43831,72.95,59886.32484,21.52886,240,0.00519,1.30885,ztfi,-1
1744,90.53215,44.15,59886.32773,21.52886,240,0.00323,1.29158,ztfi,-1
1702,87.66852,36.95,59886.33062,21.52886,240,0.00242,1.25002,ztfr,-1
780,82.05244,54.95,59886.33132,21.52886,240,0.19238,1.21941,ztfr,-1
811,73.33333,62.15,59886.33421,21.52886,240,0.15231,1.2129,ztfr,-1
744,81.85354,47.75,59886.33711,21.52886,240,0.11895,1.17052,ztfr,-1
836,60.0,69.35,59886.34,21.52886,240,0.08505,1.25135,ztfr,-1
704,88.84822,40.55,59886.34289,21.52886,240,0.07705,1.20689,ztfr,-1
837,77.14286,69.35,59886.34579,21.52886,240,0.0485,1.29778,ztfr,-1
855,36.0,76.55,59886.34868,21.52886,240,0.04633,1.38288,ztfr,-1
854,12.0,76.55,59886.35157,21.52886,240,0.03372,1.45573,ztfr,-1
812,86.66667,62.15,59886.35447,21.52886,240,0.02751,1.24623,ztfr,-1
745,91.27823,47.75,59886.35736,21.52886,240,0.03866,1.1883,ztfr,-1
856,60.0,76.55,59886.36025,21.52886,240,0.02386,1.37604,ztfr,-1
